,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
3195,What She Said: The Art of Pauline Kael,"What She Said premiered at the 2018 Telluride Film Festival, and also had its international premiere at the 2019 Berlinale Film Festival. The film was released by Juno Films[2] in the United States on December 13, 2019, where it received positive reviews from critics.",Rob Garver,Rob Garver,"Rob Garver, Glen Zipper","Pauline Kael, Sarah Jessica Parker, (voice of Pauline), Camille Paglia, Paul Schrader, Quentin Tarantino, David O. Russell, Francis Ford Coppola, Molly Haskell, Greil Marcus, John Boorman, Stephanie Zacharek, John Guare, Christopher Durang, David V. Picker, Tom Pollock, Brian Kellow, Carol Baum",Vincent C. Ellis,Rob Garver,"August 31, 2018(Telluride)",United States,English
3196,What Still Remains,"What Still Remains is a 2018 American post-apocalyptic thriller written and directed by Josh Mendoza. Lulu Antariksa stars as a young adult who loses her family. She comes upon a man from a religious commune, played by Colin O'Donoghue, who invites her to join them.",Josh Mendoza,Josh Mendoza,"Nicholas Lazo, Gregg Meller, Josh Mendoza","Lulu Antariksa, Colin O'Donoghue, Peter O'Brien, Dohn Norwood, Jeff Kober, Mimi Rogers",Matthew Edwards,R. J. Daniel Hanna,"August 10, 2018",United States,English
3197,What They Had,"What They Had is a 2018 American drama film written and directed by Elizabeth Chomko in her feature directorial debut. Starring Hilary Swank, Michael Shannon, Robert Forster, Blythe Danner, Taissa Farmiga, and Josh Lucas, the film follows two siblings in conflict with their father over whether or not to put their mother, who has Alzheimer's disease, in a nursing home.",Elizabeth Chomko,Elizabeth Chomko,"Albert Berger, Ron Yerxa, Andrew Duncan, Tyler Jackson, Bill Holderman, Keith Kjarval, Alex Saks","Hilary Swank, Michael Shannon, Robert Forster, Blythe Danner",Roberto Schaefer,Tom McArdle,"January 21, 2018(Sundance)",United States,English
3198,What Walaa Wants,"In December 2018, the Toronto International Film Festival named the film to its annual year-end Canada's Top Ten list.[2] It won the festival's Special Jury Prize in the Canadian Feature Documentary category.",Christy Garland,,"Matt Code, Christy Garland, Anne Köhncke, Justine Pimlott",Walaa Khaled Fawzy Tanji,"Christy Garland, Hanna Abu Saada","Michael Aaglund, Graeme Ring","February 17, 2018(Berlin)","Canada, Denmark",Arabic
3199,Wheely,"After a fierce crash, Wheely is demoted from a three-time rookie racer to a downtown taxi burdened with substantial debt and a bruised ego. The cause of the accident is none other than Putt Putt, his philosophical Feng Shui practitioner fan who becomes his best friend. Nothing dire occurs until Wheely discovers Bella, a wealthy supermodel. Things take a strange turn when she reveals that she has a boyfriend. Fortunately for Wheely, Bella appreciates his “street-smart, ghetto-like, and funny-guy” personality. However, their interactions are impeded by Ben, her snobbish boyfriend, who continually gets in the way. Despite everything, Wheely's situation becomes increasingly monotonous when Bella is ""car-napped"" by Kaiser, a monstrous 18-wheeler truck who has started a gang that disturbs the world.",Yusry Abdul Halim,,Norman Abdul Halim,,,,16 August 2018,Malaysia,"Malay, English"
3200,When Angels Sleep,"When Angels Sleep (Spanish: Cuando los ángeles duermen) is a 2018 Spanish thriller drama film written and directed by Gonzalo Bendala starring Marian Álvarez, Julián Villagrán and Ester Expósito.",Gonzalo Bendala,Gonzalo Bendala,Marta Velasco,"Marian Álvarez, Julián Villagrán, Ester Expósito",Sergi Gallardo,Antonio Frutos,7 September 2018,Spain,Spanish
3201,Pulp Friction,"After graduating from South Kingstown High School in 1997, Atkinson received a bachelor's degree to conclude four years at University of Rhode Island.[1] He moved to San Diego and briefly studied comedy in Los Angeles at The Groundlings and The Second City. Atkinson later settled in Ocean Beach, San Diego.[2]",,,,,,,,,
3202,When Jeff Tried to Save the World,"When Jeff Tried to Save the World is a 2018 American comedy drama film written by Kendall Goldberg and Rachel Borgo, directed by Goldberg and starring Jon Heder, Brendan Meyer, Anna Konkle, Maya Erskine, Candi Milo, Steve Berg, Richard Esteras and Jim O'Heir.[1]",Kendall Goldberg,"Kendall Goldberg, Rachel Borgo","Shane Simmons, Jimmy Seargeant, Kendall Goldberg, Sam Slater",Jon Heder,,,"April 27, 2018(Newport Beach)",United States,English
3203,When Love Digs a Hole,"The scenario was written by Ball in 16 days while in Peru in the winter of 2017 and filmed it in locations mainly in Howick in the Montérégie region of Quebec, Canada. Miron, the film's young character does share some superficial traits with Ball's younger days (including a hairdo) and Ball says the film is a tribute to his own grandmother Margaret Ball as he was so close to her. The film also has some reference points to Hal Ashby's film Harold and Maude that his grandmother introduced him to when Ball was just 12.[3]",Ara Ball,Ara Ball,Kas Steets,"Robert Naylor, France Castel, Julie Le Breton, Patrice Robitaille",Kas Steets,Ara Ball,"June 15, 2018",Canada,French
3204,When the Marquee's Lights Go Out,The film premiered at the 2018 It's All True – International Documentary Film Festival.[1][4][5],"Renato Brandão, [, 1, ]",Renato Brandão,"Amanda Ferreira, Renato Brandão",,"Pedro Watanabe, Raoni Maddalena, Simon Vialas","Bruna Carvalho Almeida, Renato Brandão","April 17, 2018(It's All True)",Brazil,Portuguese
3205,When the Storm Fades,"The film stars the real-life Pablo family from Leyte, and is improvised in part around their own real-life experience of the typhoon.[3] Although the film's primary themes address climate change and the effort to recover from grief and loss, the film includes a secondary storyline which depicts two Canadian aid workers (Aaron Read and Kayla Lorette) whose attempts to play the ""white savior"" backfire.[1]",Seán Devlin,Sean Devlin,"Seán Devlin, Chris Ferguson","Abner Pablo, Arnel Pablo, Lovely Pablo, Nilda Pablo",Jeff Petry,"Seán Devlin, Marianna Khoury","October 4, 2018(VIFF)",Canada,English
3206,When the Trees Fall,"Set in the small Ukrainian city of Lozova, the film centers on a five-year-old girl, Vitka, and her older cousin, Larysa, who is in love with a criminal.[1] The story of a five-year-old little rebellious girl Vitka with her teenage cousin Larysa and her boyfriend, the young criminal Scar unfolds in a Ukrainian provincial setting. Larysa finds herself at a crossroads after the death of her father. Yearning to be self-made, the village community ostracizes her for loving Scar. Larysa discovers her grandmother once sacrificed her love for a young gypsy abandoning him for traditional values and other people's opinions. Larysa's mother is too psychologically weak to support her daughter. Larysa and Scar plan to escape from a life of crime, misery and their relatives. But are they ready to pay the full price for freedom?",Marysia Nikitiuk,Marysia Nikitiuk,,,,,2018,Ukraine,Ukrainian
3207,When We First Met,"When We First Met is a 2018 American romantic comedy film directed by Ari Sandel, written by John Whittington, and starring Adam DeVine, Alexandra Daddario, Shelley Hennig, Andrew Bachelor and Robbie Amell. It was released worldwide on Netflix on February 9, 2018.[2]",Ari Sandel,John Whittington,"Adam Saunders, Mason Novick, Mary Viola, Michelle Knudsen, McG","Adam DeVine, Alexandra Daddario, Shelley Hennig, Andrew Bachelor, Robbie Amell",David Hennings,Jeffrey Wolf,"February 9, 2018",United States,English
3208,Where Hands Touch,"Where Hands Touch is a 2018 romantic war drama film written and directed by Amma Asante and starring Amandla Stenberg, George MacKay, Abbie Cornish, Christopher Eccleston, and Tom Sweet. It tells a fictional story of Leyna (Stenberg), a teenage girl under threat because of her mixed heritage while surviving in Nazi Germany. The film is based on historical record of the persecution of black people in Nazi Germany.",Amma Asante,Amma Asante,Charlie Hanson,"Amandla Stenberg, George MacKay, Abbie Cornish, Christopher Eccleston, Tom Sweet, Jean-Claude de Sober, Thomas Hans Schumber-Bonjour",Remi Adefarasin,Steve Singleton,9 September 2018(TIFF),"United Kingdom, Belgium, Ireland, Canada",English
3209,White Boy Rick,"White Boy Rick is a 2018 American crime drama film directed by Yann Demange and written by Andy Weiss, Logan Miller, and Noah Miller. The film stars Matthew McConaughey, Richie Merritt in his film debut, Bel Powley, Jennifer Jason Leigh, Brian Tyree Henry, Rory Cochrane, RJ Cyler, Jonathan Majors, Eddie Marsan, Bruce Dern, and Piper Laurie in her final film role.[4][5] The film is loosely based on the story of Richard Wershe Jr., who in the 1980s became the youngest FBI informant ever at the age of 14.",Yann Demange,,"John Lesher, Julie Yorn, Darren Aronofsky, Scott Franklin","Matthew McConaughey, Richie Merritt, Bel Powley, Jennifer Jason Leigh, Brian Tyree Henry, Rory Cochrane, RJ Cyler, Jonathan Majors, Eddie Marsan, Bruce Dern, Piper Laurie",Tat Radcliffe,Chris Wyatt,"August 31, 2018(Telluride)",United States,English
3210,White Chamber,"White Chamber premiered on 5 April 2018 at the Brussels International Fantastic Film Festival,[1] and later at the 2018 Edinburgh Film Festival.[2] The film was released for streaming on 29 March 2019 by Netflix.[3] The film received mixed reviews, and Macdonald's performance received praise. She won the Scottish BAFTA Award for Best Actress for her performance.[4]",Paul Raschid,Paul Raschid,"Jonnie Hurn, Neville Raschid","Shauna Macdonald, Oded Fehr",Glen Warrillow,Alex Martin,"April 5, 2018(Brussels)",United Kingdom,English
3211,The White Crow,"The White Crow is a 2018 biographical drama film written by David Hare and directed by Ralph Fiennes. It chronicles the life and dance career of ballet dancer Rudolf Nureyev, played by Oleg Ivenko.[2]",Ralph Fiennes,,"Carolyn Marks Blackwood, François Ivernel, Andrew Levitas, Gabrielle Tana, Ralph Fiennes","Oleg Ivenko, Adèle Exarchopoulos, Chulpan Khamatova, Ralph Fiennes, Aleksey Morozov, Raphaël Personnaz, Olivier Rabourdin, Ravshana Kurkova, Louis Hofmann, Sergei Polunin, Maksimilian Grigoriyev",Mike Eley,Barney Pilling,31 August 2018(Telluride),"United Kingdom, France, Croatia, Serbia","English, Russian, French"
3212,White Fang,"White Fang (French: Croc-Blanc) is a 2018 animated film directed by Alexandre Espigares. Based on the 1906 book White Fang by Jack London, the film features the voices of Nick Offerman, Rashida Jones, Paul Giamatti, and Eddie Spears as natives of Alaska who, at different times, come to know White Fang, a free spirited and at times violent wolfdog who eventually bonds with Offerman's character, a gentle master named Weedon Scott. The film also features Dave Boat, Daniel Hagen, and Stephen Kramer Glickman in the original English version, and Virginie Efira, Raphaël Personnaz, and Dominique Pinon in the French dub.",Alexandre Espigares,,"Marc Turtletaub, Peter Saraf, Lilian Eche, Jérémie Fajner, Christel Henon, Clément Calvet",,,Patrick Ducruet,21 January 2018(Sundance)1,"France, Luxembourg","English, French"
3213,White Rabbit,White Rabbit is a 2018 American comedy-drama film directed by Daryl Wein and starring Vivian Bang.[1],Daryl Wein,"Daryl Wein, Vivian Bang","Daryl Wein, Vivian Bang",Vivian Bang,"Tyler Beus, Daryl Wein","Spencer Rollins, Daryl Wein","January 19, 2018(Sundance)",United States,English
3214,Whitney,"Whitney is a 2018 documentary film about the American singer and actress Whitney Houston. The film was directed by Kevin Macdonald and produced by Simon Chinn, Jonathan Chinn and Lisa Erspamer. Whitney was screened out of competition at the world premiere as part of the 2018 Cannes Film Festival on 16 May 2018 with a cinema release on 6 July 2018.[3][4][5][6] The film was also released on home media where it debuted at number one on the UK Official Music Video Chart.[7] 
The film received positive reviews from critics and audiences and grossed $4.7 million worldwide at the box office. In December 2018, Whitney was nominated at the 61st Grammy Awards for Best Music Film.[8]",Kevin Macdonald,Kevin Macdonald,"Simon Chinn, Jonathan Chinn, Lisa Erspamer",Whitney Houston,Nelson Hume,Sam Rice-Edwards,16 May 2018(Cannes),"United States, United Kingdom",English
3215,Who,"Who is a 2018 Indian English and Malayalam-language science fiction mystery film, written and directed by Ajay Devaloka as his directorial debut.[1][2] The film features Shine Tom Chacko, Shruthy Menon, Pearle Maaney, Rajeev Pillai and Prashanth Nair (IAS) .[2] The film was produced by Vishakha Bokil and co-produced by MF Anto under the banner of Corridor 6 Films. The teaser was released on YouTube in September.[3]Who is the first time travel movie from Kerala. The movie had its official world premiere at the 71st Cannes film festival's market section on 15 May 2018. Who had a nationwide release in India in Malayalam language with English subtitles obtaining rave reviews from the critics.[4] 'WHO' is now streaming on Amazon Prime worldwide.[5]",Ajay Devaloka,,Vishakha Bokil,"Shine Tom Chacko, Shruthy Menon, Merin Mariya, Pearle Maaney, Rajeev Pillai",Amith Surendran,Ajay Devaloka,26 October 2018,India,"Malayalam, English"
3216,Who Said Boys Can't Wear Makeup?,"Who Said Boys Can't Wear Makeup? is a 2018 English-Manipuri film written, produced and directed by Priyakanta Laishram under the banner, Priyakanta Productions.[1]  It is the first Indian film to discuss the subject of men's makeup and gender-neutral fashion. The film stars Laishram, Inder Bajwa, Thounaojam Strela Luwang, Nimrit Kaur Ahluwalia and Bala Hijam. At the Lifestyle Young Influencer Awards 2018, the film won the Best Multimedia Influencer Award.[2] The film was premiered at St. Regis, Mumbai on 7 April 2018.[3]",Priyakanta Laishram,,Priyakanta Laishram,"Priyakanta Laishram, Bala Hijam, Nimrit Kaur Ahluwalia, Thounaojam Strela Luwang, Inder Bajwa","Sachit Gurung, Bryan Marshall",,7 April 2018,India,"English, Meitei language, (officially called, Manipuri language, )"
3217,Why Don't You Just Die!,"Olga, the daughter of a police officer named Andrei Gennadievich, persuades her boyfriend, Matvei, to murder her father, claiming that Andrei abused her as a child. Armed with a hammer, Matvei enters Andrei’s apartment, only to be caught and overpowered by Andrei, who ties him up and begins a brutal interrogation, suspecting he was sent by someone. When Matvei reveals his motives, Andrei is shaken, leading to a violent clash that uncovers a stash of money hidden in the family sofa. Matvei manages to escape briefly, but a police colleague, Evgenich, arrives and a deadly confrontation ensues, bringing long-held secrets of corruption, betrayal, and revenge to light.","Kirill Sokolov, [, ru, ]",Kirill Sokolov,"Sofiko Kiknavelidze, Elena Geladze","Aleksandr Kuznetsov, Vitaly Khaev, Yevgenia Kregzhde, Yelena Shevchenko",Dmitry Ulyukaev,Kirill Sokolov,"August 13, 2018(Window to Europe Film Festival)",Russia,Russian
3218,Widow of Silence,"Widow of Silence is an Indian drama film directed, written and produced by Praveen Morchhale who has been hailed by critics as an important filmmaker of the Indian new wave.[1] The film stars Ajay Chourey, Shilpi Marwaha, Bilal Ahmad, and Noorjahan. It was released on 9 December 2018.",Praveen Morchhale,Praveen Morchhale,Praveen Morchhale,"Ajay Chourey, Shilpi Marwaha, Bilal Ahmad, Noorjahan",Mohammad Reza Jahanpanah,Anthony Joseph,9 December 2018,India,"Urdu, Kashmiri"
3219,Widows,"Widows is a 2018 neo-noir heist thriller film directed by Steve McQueen from a screenplay by Gillian Flynn and McQueen,[4] based upon the 1983 British television series of the same name.[5] The plot follows four Chicago women who attempt to steal $5 million from the home of a prominent local politician in order to pay back a crime boss missing money stolen by the women's husbands before they were killed in a botched getaway attempt. A British-American co-production, the film stars Viola Davis, Michelle Rodriguez and Elizabeth Debicki in the title roles alongside Cynthia Erivo (in her film debut), Colin Farrell, Brian Tyree Henry, Daniel Kaluuya, Jacki Weaver, Carrie Coon, Robert Duvall, and Liam Neeson in an ensemble supporting cast.",Steve McQueen,,"Steve McQueen, Iain Canning, Emile Sherman, Arnon Milchan","Viola Davis, Michelle Rodriguez, Elizabeth Debicki, Cynthia Erivo, Colin Farrell, Brian Tyree Henry, Daniel Kaluuya, Jacki Weaver, Carrie Coon, Robert Duvall, Liam Neeson",Sean Bobbitt,Joe Walker,"September 8, 2018(TIFF)","United Kingdom, United States",English
3220,The Wild Fields,The film was released in wide distribution in Ukraine on 9 November 2018.,Yaroslav Lodygin,"Serhiy Zhadan, , novel  “, Voroshylovhrad, ”","Volodymyr Yatsenko, Miklosh Himnesh","Oleg Moskalenko, Vladimir Yamnenko,, Oleksiy Gorbunov, , Ruslan Khazipov, George Povolotsky, Eugene Muts, Igor Portyanko",Serhiy Mykhalchuk,,9 November 2018(Ukraine),Ukraine,"Ukrainian, Russian, dialect"
3221,Wild Nights with Emily,"Wild Nights with Emily is a 2018 American romantic comedy film written and directed by Madeleine Olnek. It stars Molly Shannon as Emily Dickinson, as well as Amy Seimetz, Susan Ziegler, Brett Gelman, Jackie Monahan, Kevin Seal, Dana Melanie, Sasha Frolova, Lisa Haas and Stella Chesnut. The film is based on the actual events of Emily Dickinson's life, including her process as a writer, her attempts to get published, and her lifelong romantic relationship with another woman.[2]",Madeleine Olnek,Madeleine Olnek,"Anna Margarita Albelo, Casper Andreas, Madeleine Olnek, Max Rifkind-Barron","Molly Shannon, Amy Seimetz, Susan Ziegler, Brett Gelman, Jackie Monahan, Kevin Seal, Dana Melanie, Sasha Frolova, Lisa Haas, Stella Chesnut",Anna Stypko,"Tony Clemente Jr., Lee Eaton","March 11, 2018(South by Southwest)",United States,English
3222,The Wild Pear Tree,"The Wild Pear Tree (Turkish: Ahlat Ağacı) is a 2018 Turkish drama film directed by Nuri Bilge Ceylan. It was selected to compete for the Palme d'Or at the 2018 Cannes Film Festival.[2][3] It was also selected as the Turkish entry for the Best Foreign Language Film at the 91st Academy Awards, but it was not nominated.[4]",Nuri Bilge Ceylan,"Nuri Bilge Ceylan, Ebru Ceylan, Akın Aksu",Zeynep Özbatur Atakan,"Doğu Demirkol, Murat Cemcir, Bennu Yıldırımlar, Hazar Ergüçlü",Gökhan Tiryaki,Nuri Bilge Ceylan,18 May 2018(Cannes),"Turkey, France, Germany, Bulgaria, North Macedonia, Bosnia and Herzegovina, Sweden",Turkish
3223,Wild Rose,"Wild Rose is a 2018 musical drama film directed by Tom Harper and starring Jessie Buckley, Julie Walters, Sophie Okonedo, Jamie Sives, Craig Parkinson, James Harkness, Janey Godley, Daisy Littlefield, Ryan Kerr, Adam Mitchell, and Nicole Kerr. The screenplay was written by Nicole Taylor.",Tom Harper,Nicole Taylor,Faye Ward,"Jessie Buckley, Sophie Okonedo, Julie Walters",George Steel,Mark Eckersley,8 September 2018(TIFF),"Canada, [, 1, ], United Kingdom",English
3224,Wildlife,"Wildlife is a 2018 American drama film directed and co-produced by Paul Dano, in his directorial debut, from a screenplay by Dano and Zoe Kazan, based on the 1990 novel by Richard Ford. It stars Carey Mulligan, Jake Gyllenhaal (who also co-produced), Ed Oxenbould, and Bill Camp.",Paul Dano,,"Andrew Duncan, Alex Saks, Paul Dano, Oren Moverman, Ann Ruark, Jake Gyllenhaal, Riva Marker","Carey Mulligan, Jake Gyllenhaal, Ed Oxenbould, Bill Camp",Diego Garcia,"Matthew Hannam, Louise Ford","January 20, 2018(Sundance)",United States,English
3225,Wildling,"Wildling is a 2018 American horror fantasy film written and directed by Fritz Böhm in his feature directorial debut, from a screenplay by Böhm and Florian Eder.[2] It stars Liv Tyler, Bel Powley, Brad Dourif, Collin Kelly-Sordelet, Mike Faist, and James LeGros.[3] The film follows a teenage girl who uncovers a dark secret behind her traumatic childhood in the fictional Onatah County.",Fritz Böhm,"Fritz Böhm, Florian Eder","Celine Rattray, Trudie Styler, Liv Tyler, Charlotte Ubben","Liv Tyler, Bel Powley, Brad Dourif, Collin Kelly-Sordelet, James LeGros",Toby Oliver,"Robb Sullivan, Matt Rundell","March 10, 2018(SXSW)",United States,English
3226,Willy and the Guardians of the Lake,"The green Verdies are small and minute, but yet are courageous guardians of the lakeside. Verdies only become guardians when they reach an age in which their hair turns brown in colour and until then life is boring. The green haired youngsters are not allowed to fly on warblers to row boats alone along the lake or even to ride wild frogs at the rodeo. Willy Whistle's big dream is to become a guardian one day but his curiosity always gets him into trouble.[7]",Zsólt Pálfi,Judit Berg,,"András Faragó, Anna Kubik, Tamás Markovics",,,6 December 2018,Hungary,"Hungarian, English"
3227,Winchester,"Winchester (also known as Winchester: The House That Ghosts Built) is a 2018 biographical supernatural horror film directed by Michael and Peter Spierig, and written by the Spierigs and Tom Vaughan. The film stars Helen Mirren as heiress Sarah Winchester, with Jason Clarke and Sarah Snook, and follows Winchester as she is haunted by spirits inside her San Jose mansion in 1906.",The Spierig Brothers,,"Tim McGahan, Brett Tomberlin","Helen Mirren, Jason Clarke, Sarah Snook",Ben Nott,Matt Villa,"February 2, 2018(United States)","Australia, United States",English
3228,The Wind Sculpted Land,"The film has won several awards, e.g. in 2018 Matsalu Nature Film Festival in the category Nature: Best Cinematography.[1][3]",Joosep Matjus,,"Riho Västrik, , Katri Rannastu, Atte Henriksson",,,,2018,Estonia,Estonian
3229,The Wind,"The Wind is a 2018 American supernatural horror Western film directed by Emma Tammi in her solo feature directorial debut. It was written by Teresa Sutherland and stars Caitlin Gerard, Ashley Zukerman, Julia Goldani Telles and Miles Anderson.[3]  The film premiered at the Toronto International Film Festival on September 10, 2018.[4]",Emma Tammi,Teresa Sutherland,"Christopher Alender, David Grove Churchill Viste","Caitlin Gerard, Ashley Zukerman, Julia Goldani Telles, Miles Anderson",Lyn Moncrief,Alexandra Amick,"September 10, 2018(TIFF)",United States,English
3230,Winter Flies,"Olmo Omerzu has won a Best Director Award at  Karlovy Vary International Film Festival.[3] It was selected as the Czech entry for the Best Foreign Language Film at the 91st Academy Awards, but it was not nominated.[4][5]",Olmo Omerzu,Petr Pýcha,Jiří Konečný,"Tomáš Mrvík, ,, Jan František Uher",Lukáš Milota,,1 July 2018(KVIFF),"Czech Republic, Slovakia, Slovenia, Poland",Czech
3231,Winter Ridge,"Winter Ridge is a 2018 British psychological thriller drama film directed by Dom Lenoir and starring Matt Hookings, Olwen Catherine Kelly, Michael McKell, Hannah Waddingham, Justin McDonald and Alan Ford. It was written by Ross Owen Williams.",Dom Lenoir,,"Nancy Bressolles, Chris Hardman, Matt Hookings, Dom Lenoir","Matt Hookings, Michael McKell, Olwen Catherine Kelly, Hannah Waddingham, Justin McDonald, Alan Ford",Joao da Silva,Barry Moen,9 February 2018(Hollywood Florida Film Festival),United Kingdom,English
3232,Winter's Night,"Middle-aged couple, Eun-joo (Seo Young-hwa) and Heung-joo (Yang Heung-joo), takes a trip to Chuncheon in 30 years. After visiting Cheongpyeong Temple on an island, they are forced to return to the island when Eun-joo realizes she has left her phone behind. They retrace their footsteps and meet a young couple (Lee Sang-hee and Woo Ji-hyun) who reminder them of their younger self. As the night wears on, it soon reveals all is not well between Eun-joo and Heung-joo and their relationship is in crisis.[2][3][4][5][6][7]",Jang Woo-jin,,Kim Dae-hwan,"Seo Young-hwa, Yang Heung-joo, Lee Sang-hee, Woo Ji-hyun",Yang Jeong-hoon,Jang Woo-jin,May 2018(JIFF),South Korea,Korean
3233,Wiren,"Wiren is a 2018 Surinamese drama film directed by Ivan Tai-Apin. It was selected as the Surinamese entry for the Best International Feature Film at the 93rd Academy Awards, but it was not nominated.[1] It was the first time Suriname had made a submission in the category.[2]",Ivan Tai-Apin,"Ivan Tai-Apin, Sander Coumou",,"Rafe Leysner, Altaafkhan Dhonre, Idi Lemmers, Gaby Treurniet",Sander Coumou,Sander Coumou,10 December 2018,Suriname,"Dutch, English, Sarnami Hindustani, Sranan Tongo, Surinamese Sign Language"
3234,The Witch in the Window,"The Witch in the Window is a 2018 American supernatural horror film written and directed by Andy Mitton.[1] The film had its world premiere at Fantasia International Film Festival on July 23, 2018,[2] followed by its US premiere at the Film Society of Lincoln Center in New York City on August 19, 2018.[3] It was released on Shudder on October 18, 2018.[4]",Andy Mitton,Andy Mitton,"Alex Draper, Richard W. King, Andy Mitton","Alex Draper, Charlie Tacker, Arija Bareikis, Greg Naughton",Justin Kane,Andy Mitton,"July 23, 2018(Fantasia)",United States,English
3235,The Witch: Part 1. The Subversion,"A young girl escapes from a mysterious laboratory after a violent incident that leaves many dead. Two members who run the lab, Dr. Baek and Mr. Choi, considered her dead. The girl collapses on a farm, where she is discovered by the owners, Mr. and Mrs. Goo. His wife nurses the girl back to health and adopts her.",Park Hoon-jung,Park Hoon-jung,"Park Hoon-jung, Yeon Young-sik","Kim Da-mi, Jo Min-su, Park Hee-soon, Choi Woo-shik","Kim Young-ho, Lee Teo",Kim Chang-ju,27 June 2018,South Korea,Korean
3236,With Love,The film premiered at the Festival du cinéma international en Abitibi-Témiscamingue in October 2018.[3],Marc Bisaillon,Marc Bisaillon,Christine Falco,"Pierre-Luc Lafontaine, Paul Doucet, Fanny Mallette",Vincent Biron,Mathieu Bouchard-Malo,"October 28, 2018",Canada,French
3237,The Witness,"One night at his apartment, Sang-Hoon hears a woman's scream. He looks outside his apartment and sees Tae-Ho hitting a woman with a hammer. Sang-Hoon and Tae-Ho then make direct eye contact. Too terrified of what he saw, Sang-Hoon does not call the police for fear of retaliation from the killer. The next day, that woman is found dead. Detective Jae-Yeob investigates the case. Sang-Hoon is still terrified and does not tell Detective Jae-Yeob about what he witnessed. Soon, another resident who witnessed the same murder is killed by Tae-Ho. Sang-Hoon tries to protect himself and his family from the murderer.",Jo Kyu-jang,Lee Young-jong,"Oh Jung-hyun, Cha Ji-hyun","Lee Sung-min, Kim Sang-ho, Jin Kyung, Kwak Si-yang",Yu Eok,Kim Seon-min,"August 15, 2018",South Korea,Korean
3238,Shoes,The aim of the project is the story of the tragic events of 1933–1945 and a reminder to the younger generation of the tragedy with the aim of preventing it in the future.,Konstantin Fam,"Konstantin Fam, Maxim Voskoboev, Sergei Rachlin","Konstantin Fam, Alex A. Petruhin, Egor Odintsov, Boris Mints",,,,2018,"Russia, Belarus, Ukraine, Poland, France, Czech Republic, Israel",
3239,Wives on Strike: The Revolution,"The film continues with the story of the market women from the prequel, Wives on Strike, who are now battling against domestic abuse after one of them is killed by her husband, which prompts another strike by the women against their husbands.[4] With their rallying call; ""want some sex?"", then speak up against domestic violence, the women were able to force the hands of their husbands to stand up for what is right and curb domestic violence.[5][3]",Omoni Oboli,,Omoni Oboli,"Omoni Oboli, Uche Jombo, Chioma Chukwuka Akpotha, Odunlade Adekola, Toyin Abraham",,,2018,Nigeria,English
3240,A Wizard's Tale,"A Wizard's Tale (also known as Ahí Viene Cascarrabias in Mexico and Here Comes the Grump internationally) is a 2018 animated fantasy adventure comedy film based on the DePatie–Freleng animated series, Here Comes the Grump, which originally ran from 1969 to 1970 on NBC.[5][6]",Andrés Couturier,Jim Hecht,"José C. García de Letona, Fernando De Fuentes, Greg Gavanski, Bill Schultz","Toby Kebbell, Lily Collins, Ian McShane",,J. Martín Téllez Andrade,1 March 2018(Italy),"Mexico, United Kingdom, India","English, Spanish"
3241,Wobble Palace,"Wobble Palace is a 2018 romantic comedy film directed by Eugene Kotlyarenko, who co-wrote the screenplay with Dasha Nekrasova. Kotlyarenko and Nekrasova also star in the leading roles.",Eugene Kotlyarenko,,,"Eugene Kotlyarenko, Dasha Nekrasova",Sean Price Williams,Benjamin Moses Smith,"March 9, 2018(SXSW)",United States,English
3242,The Wolf House,"The film uses elements of avant-garde cinema, dark fantasy, psychological drama, surrealism, and supernatural horror.[3][4]
It had its world premiere at the 68th Berlin International Film Festival in the Forum section on February 22, 2018.[5]","Cristobal León, Joaquín Cociña","Cristóbal León, Joaquín Cociña, Alejandra Moffat","Catalina Vergara, Niles Atallah","Amalia Kassai, Rainer Krause","Cristobal León, Joaquín Cociña",,"February 22, 2018(Berlin)",Chile,"Spanish, German"
3243,Wolfman's Got Nards,Wolfman's Got Nards is a 2018 documentary film directed by Andre Gower that explores the legacy and cult following of the 1987 film The Monster Squad.[1] The documentary takes its title from a famous line in the original film.[2],Andre Gower,"Andre Gower, Henry Darrow McComas",Andre Gower,"Shane Black, Fred Dekker, Seth Green",Henry Darrow McComas,Henry Darrow McComas,7 April 2018,United States,
3244,Woman at War,"Woman at War (Icelandic: Kona fer í stríð, lit. 'Woman goes to battle'code: isl promoted to code: is , version in Ukrainian: «Гірська жінка: на війні», romanized: Girska zhinka: na viyni, lit. 'Highland Woman: at the War') is a 2018 Icelandic-Ukrainian comedy-drama film written, produced and directed by Benedikt Erlingsson, and starring Halldóra Geirharðsdóttir.",Benedikt Erlingsson,"Benedikt Erlingsson, Ólafur Egill Egilsson","Benedikt Erlingsson, Carine Leblanc, Marianne Slot","Halldóra Geirharðsdóttir, Davíð Þór Jónsson, Magnús Trygvason Eliasen, Ómar Guðjónsson, Jóhann Sigurðarson",Bergsteinn Björgúlfsson,Davíð Alexander Corno,12 May 2018(Cannes),"Iceland, France, Ukraine","Icelandic, Spanish, English, Ukrainian"
